Id Sankce,ID kontroly,Vyse pokuty,Zakon
100748,211505040105301,3000,zak. 634/1992
100750,251508250301301,1000,zak. 634/1992
100752,251508250301302,2000,zak. 634/1992
100754,401508250556402,1000,zak. 64/1986
100755,101506050038303,2000,zak. 634/1992
100756,101505260038301,3000,zak. 634/1992
100757,211507100103501,4000,zak. 634/1992
100759,211507210019901,30000,zak. 634/1992
100760,311506250550601,4000,zak. 634/1992
100762,211308170104001,1000,zak. 634/1992
100763,211506170306401,2000,zak. 634/1992
100764,211507140105301,2000,zak. 634/1992
100765,211506240009901,3000,zak. 634/1992
100767,101508250038301,3000,zak. 634/1992
100768,211507220105303,5000,zak. 634/1992
100769,211506020009902,2000,zak. 634/1992
100770,211506010306401,2000,zak. 634/1992
100772,101508250010202,1000,zak. 634/1992
100774,101508250910903,1000,zak. 634/1992
100775,211506170033401,10000,zak. 145/2010
100776,211505120105301,4000,zak. 634/1992
100778,211507100154201,50000,zak. 634/1992
100779,211506250033402,8000,zak. 634/1992
100780,211506110151201,8000,zak. 64/1986
100781,211507080103501,5000,zak. 634/1992
100782,211506100019901,3000,zak. 634/1992
100784,211508250151201,1000,zak. 634/1992
100786,211508250009901,1500,zak. 634/1992
100788,251508190302801,1000,zak. 634/1992
100790,251508200021701,1000,zak. 634/1992
100792,101508259909501,3000,zak. 22/1997
100794,221508250016901,1000,zak. 634/1992
100795,301506240038201,4000,zak. 634/1992
100796,301505120035101,5000,zak. 102/2001
100797,301508250702801,1000,zak. 634/1992
100799,401508250042002,1000,zak. 64/1986
100801,101508260009502,2000,zak. 634/1992
100802,241502090027901,20000,zak. 634/1992
100804,101508260013601,1000,zak. 634/1992
100805,241502110405302,10000,zak. 634/1992
100806,101507290010202,1000,zak. 634/1992
100808,241508260400902,3000,zak. 22/1997
100808,241508260400902,3000,zak. 634/1992
100809,271507020504501,1000,zak. 634/1992
100811,221508190253499,1000,Nař. 1007/2011
100813,211508260154802,1000,zak. 634/1992
100815,241508250027901,1000,zak. 634/1992
100817,211508260154001,1000,zak. 634/1992
100819,221508210251302,1000,zak. 634/1992
100821,221508210251303,1000,zak. 634/1992
100823,211508260010301,1000,zak. 634/1992
100825,211508260103501,1000,zak. 634/1992
100827,211508260105301,2000,zak. 634/1992
100829,271508260043902,1000,zak. 634/1992
100831,241508260405301,1000,zak. 634/1992
100833,211508250306402,1000,zak. 64/1986
100835,271508260305001,3000,zak. 22/1997
100837,311508250030301,1000,zak. 634/1992
100839,311508260600201,1000,zak. 634/1992
100840,101410070955502,5000,zak. 634/1992
100841,101410020907101,4000,zak. 634/1992
100843,101508260152801,1000,zak. 634/1992
100845,101508260958203,1000,zak. 634/1992
100846,101409270038001,3000,zak. 634/1992
100848,101508250152801,1000,zak. 634/1992
100850,101508259043102,1000,zak. 634/1992
100853,101508260032501,1000,zak. 634/1992
100855,101508260040102,2000,zak. 634/1992
100856,251504170024301,5000,zak. 634/1992
100858,101508260041302,1000,zak. 634/1992
100859,251504030024301,2000,zak. 634/1992
100861,101508260042803,1000,zak. 634/1992
100863,271508260018501,2000,zak. 634/1992
100865,301508260042401,2000,zak. 634/1992
100867,101508260038003,2000,zak. 634/1992
100869,101508260009504,2000,zak. 634/1992
100871,101508260011301,1000,zak. 634/1992
100873,101508269043102,1000,zak. 634/1992
100875,271508260506501,2000,zak. 634/1992
100878,211508250104901,1000,zak. 634/1992
100879,211508250104901,2000,zak. 64/1986
100881,211508250104902,1000,zak. 634/1992
100883,211508260104901,1000,zak. 634/1992
100885,101508250040101,1000,zak. 634/1992
100887,221508260253801,1000,zak. 634/1992
100889,221508260037201,1000,zak. 634/1992
100891,221508270253401,2000,zak. 22/1997
100892,211507220015101,5000,zak. 634/1992
100894,271508270305001,2000,zak. 634/1992
100896,241508270400901,1000,zak. 634/1992
100897,101508279553001,2000,Nař. 305/2011
100898,101508279553001,1000,zak. 634/1992
100900,101508148701101,1000,zak. 64/1986
